DATE_ID,erbs,EUtranCellFDD,DCVECTOR_INDEX,pmTaInit2Distr,Site_id,NE_id,Band_id,Sectoral,Sector_gabung,Distance,dfsum,Cumulative_Occurance,TA_Index
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,16,0,BKT003,BKT003ML,L1800,5,2,(19.4 - 22.0) km,113827,100.0,TA16
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,17,0,BKT003,BKT003ML,L1800,5,2,(22.0 - 24.8) km,113827,100.0,TA17
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,18,0,BKT003,BKT003ML,L1800,5,2,(24.8 - 27.9) km,113827,100.0,TA18
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,19,0,BKT003,BKT003ML,L1800,5,2,(27.9 - 31.3) km,113827,100.0,TA19
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,0,6,BKT003,BKT003MT,L900,1,1,(0 - 0.08) km,12999,0.04615739672282484,TA0
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,1,240,BKT003,BKT003MT,L900,1,1,(0.08 - 0.23) km,12999,1.892453265635818,TA1
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,2,9301,BKT003,BKT003MT,L900,1,1,(0.23 - 0.63) km,12999,73.44411108546811,TA2
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,3,3213,BKT003,BKT003MT,L900,1,1,(0.63 - 1.01) km,12999,98.16139703054081,TA3
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,4,235,BKT003,BKT003MT,L900,1,1,(1.01 - 1.64) km,12999,99.96922840218478,TA4
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,5,4,BKT003,BKT003MT,L900,1,1,(1.64 - 2.42) km,12999,100.0,TA5
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,6,0,BKT003,BKT003MT,L900,1,1,(2.42 - 3.36) km,12999,100.0,TA6
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,7,0,BKT003,BKT003MT,L900,1,1,(3.36 - 4.45) km,12999,100.0,TA7
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,8,0,BKT003,BKT003MT,L900,1,1,(4.45 - 5.70) km,12999,100.0,TA8
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,9,0,BKT003,BKT003MT,L900,1,1,(5.70 - 7.18) km,12999,100.0,TA9
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,10,0,BKT003,BKT003MT,L900,1,1,(7.18 - 8.74) km,12999,100.0,TA10
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,11,0,BKT003,BKT003MT,L900,1,1,(8.74 - 10.5) km,12999,100.0,TA11
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,12,0,BKT003,BKT003MT,L900,1,1,(10.5 - 12.5) km,12999,100.0,TA12
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,13,0,BKT003,BKT003MT,L900,1,1,(12.5 - 14.6) km,12999,100.0,TA13
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,14,0,BKT003,BKT003MT,L900,1,1,(14.6 - 16.9) km,12999,100.0,TA14
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,15,0,BKT003,BKT003MT,L900,1,1,(16.9 - 19.4) km,12999,100.0,TA15
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,16,0,BKT003,BKT003MT,L900,1,1,(19.4 - 22.0) km,12999,100.0,TA16
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,17,0,BKT003,BKT003MT,L900,1,1,(22.0 - 24.8) km,12999,100.0,TA17
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,18,0,BKT003,BKT003MT,L900,1,1,(24.8 - 27.9) km,12999,100.0,TA18
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1,19,0,BKT003,BKT003MT,L900,1,1,(27.9 - 31.3) km,12999,100.0,TA19
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,0,194,BKT003,BKT003MT,L900,5,2,(0 - 0.08) km,74671,0.2598063505242999,TA0
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,1,4244,BKT003,BKT003MT,L900,5,2,(0.08 - 0.23) km,74671,5.943405070241459,TA1
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,2,48692,BKT003,BKT003MT,L900,5,2,(0.23 - 0.63) km,74671,71.15212063585595,TA2
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,3,19474,BKT003,BKT003MT,L900,5,2,(0.63 - 1.01) km,74671,97.23185707972306,TA3
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,4,1384,BKT003,BKT003MT,L900,5,2,(1.01 - 1.64) km,74671,99.08532094119538,TA4
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,5,673,BKT003,BKT003MT,L900,5,2,(1.64 - 2.42) km,74671,99.98660792007607,TA5
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,6,0,BKT003,BKT003MT,L900,5,2,(2.42 - 3.36) km,74671,99.98660792007607,TA6
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,7,0,BKT003,BKT003MT,L900,5,2,(3.36 - 4.45) km,74671,99.98660792007607,TA7
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,8,10,BKT003,BKT003MT,L900,5,2,(4.45 - 5.70) km,74671,100.0,TA8
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,9,0,BKT003,BKT003MT,L900,5,2,(5.70 - 7.18) km,74671,100.0,TA9
